2.890000000000000000e+03,2.900000000000000000e+03,2.550000000000000000e+03,2.470000000000000000e+03
7.970000000000000000e+02,7.970000000000000000e+02,8.290000000000000000e+02,8.370000000000000000e+02
3.140000000000000000e+02,3.150000000000000000e+02,2.500000000000000000e+02,2.340000000000000000e+02
5.630000000000000000e+02,5.640000000000000000e+02,5.020000000000000000e+02,4.860000000000000000e+02
1.220000000000000000e+03,1.220000000000000000e+03,9.690000000000000000e+02,9.090000000000000000e+02
2.280000000000000000e+06,2.290000000000000000e+06,1.820000000000000000e+06,1.700000000000000000e+06
2.730000000000000000e+06,2.750000000000000000e+06,2.180000000000000000e+06,2.040000000000000000e+06
2.260000000000000000e+02,2.260000000000000000e+02,2.020000000000000000e+02,1.950000000000000000e+02
8.210000000000000853e+00,8.250000000000000000e+00,6.549999999999999822e+00,6.139999999999999680e+00
5.990000000000000000e+03,6.020000000000000000e+03,4.780000000000000000e+03,4.480000000000000000e+03
5.200000000000000000e+01,5.210000000000000142e+01,4.639999999999999858e+01,4.489999999999999858e+01
6.239999999999999858e+01,6.250000000000000000e+01,5.570000000000000284e+01,5.389999999999999858e+01
5.720000000000000284e+01,5.729999999999999716e+01,5.100000000000000000e+01,4.939999999999999858e+01
5.979999999999999716e+01,5.989999999999999858e+01,5.339999999999999858e+01,5.170000000000000284e+01
-5.970000000000000306e-02,-5.970000000000000306e-02,-5.970000000000000306e-02,-5.970000000000000306e-02
-4.459999999999999989e-04,-4.449999999999999746e-04,-5.599999999999999509e-04,-5.980000000000000072e-04
